Region 	Source 	2MASS/SSTc2d 	RA 	Dec 	EDR3_plx 	EDR3_err_plx 	EDR3_RUWE 	EDR3_Dist_PPVII 	PM_EDR3_mas 	Disk 	Disk_Flag 	Observatory 	Freq_GHz 	Wavelength 	Beam_arcsec 	RMS_mJy/beam 	Survey_Ref 	Flux_mJy_Standardized 	Mdust_Mearth_Standardized 	Mdust_Mearth_PPVII 	Size_as 	eSize_as 	Hendler20_lR68 	Hendler20_R68_arcsec 	Hendler20_R68_au_DR3 	ref_spt 	Source_check 	Teff_HH14 	Lstar_DR3 	logLacc_DR3 	Mstar_B15_DR3 	logMacc_B15_DR3 	Mstar_S00_DR3 	logMacc_S00_DR3 	Mstar_Fei_DR3 	logMacc_Fei_DR3 	Mstar_PPVII 	logMacc_PPVII 	notes_Macc_PPVII
Taurus 	J04381486+2611399 	J04381486+2611399 	04:38:14.861 	=+26:11:39.940 	7.1298 	0.5276 	1.140 	140.26 	[5.435, -21.565] 	II 	1 	[ALMA, pre-ALMA] 	[338.8, 225] 	[0.885, 1.3] 	[0.34x0.24, ??] 	[0.15, ??] 	[Ward-Duong+18, Andrews+13] 	[1.57, 2.3] 	[0.32, 1.28] 	1.28 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	J04381486+2611399 	2746 	0.002 	-99.03 	0.045 	-105.7 	nan 	nan 	nan 	nan 	0.045 	-105.7 	--
Taurus 	GM Tau 	J04382134+2609137 	04:38:21.340 	=+26:09:13.740 	7.1752 	0.0594 	1.080 	139.37 	[6.047, -22.395] 	II 	1 	[ALMA, pre-ALMA] 	[338.8, 225] 	[0.885, 1.3] 	[0.34x0.24, ??] 	[0.15, ??] 	[Ward-Duong+18, Andrews+13] 	[2.75, <4.8] 	[0.55, <2.63] 	<2.63 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	GM Tau 	2980 	0.07 	-2.093 	0.112 	-8.545 	0.1125 	-8.547 	0.09 	-8.45 	0.112 	-8.545 	--
Taurus 	DO Tau 	J04382858+2610494 	04:38:28.582 	=+26:10:49.440 	7.2193 	0.0352 	2.035 	141 	[6.268, -21.047] 	II 	1 	[pre-ALMA, ALMA] 	[388, 225.5] 	[0.89, 1.3] 	[??, 0.14x0.10] 	[??, 0.058] 	[Andrews+13, Long+19] 	[252.8, 123.76] 	[52.51, 69.53] 	68.54 	[, 0.263] 	[, ] 	-- 	0.19 	26.79 	HH08,HH14,Testi+22 	DO Tau 	3846 	1.241 	-0.846 	0.532 	-7.572 	0.5525 	-7.588 	0.45 	-7.5 	0.532 	-7.572 	--
Taurus 	HV Tau C 	-- 	04:38:35.480 	=+26:10:41.500 	-- 	-- 	-- 	141 	[, ] 	II 	1 	[pre-ALMA, pre-ALMA] 	[388, 225] 	[0.89, 1.3] 	[??, ??] 	[??, ??] 	[Andrews+13, Andrews+13] 	[47.4, 23.1] 	[9.85, 12.98] 	12.79 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	HV Tau C 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
Taurus 	J04385859+2336351 	J04385859+2336351 	04:38:58.600 	=+23:36:35.200 	7.8959 	0.0534 	1.112 	126.65 	[8.091, -21.201] 	II 	1 	[ALMA, pre-ALMA] 	[338.8, 225] 	[0.885, 1.3] 	[0.34x0.24, ??] 	[0.15, ??] 	[Ward-Duong+18, Andrews+13] 	[28.29, 13.2] 	[4.67, 5.98] 	5.98 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	J04385859+2336351 	3134 	0.037 	-99 	0.153 	-105.7 	0.14 	-105.7 	0.14 	-105.72 	0.153 	-105.7 	--
Taurus 	J04390163+2336029 	J04390163+2336029 	04:39:01.630 	=+23:36:03.000 	7.8891 	0.0269 	1.213 	126.76 	[7.933, -21.593] 	II 	1 	[ALMA, pre-ALMA] 	[338.8, 225] 	[0.885, 1.3] 	[0.34x0.24, ??] 	[0.15, ??] 	[Ward-Duong+18, Andrews+13] 	[1.73, <6.6] 	[0.29, <3.00] 	<3.00 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	J04390163+2336029 	2999 	0.1 	-3.277 	0.125 	-9.706 	0.1325 	-9.729 	0.11 	-9.64 	0.125 	-9.706 	--
Taurus 	J04390396+2544264 	J04390396+2544264 	04:39:03.960 	=+25:44:26.420 	7.0936 	0.1513 	1.285 	140.97 	[6.582, -21.117] 	II 	1 	[ALMA, pre-ALMA] 	[338.8, 225] 	[0.885, 1.3] 	[0.34x0.24, ??] 	[0.15, ??] 	[Ward-Duong+18, Andrews+13] 	[2.28, 2.9] 	[0.47, 1.63] 	1.63 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	J04390396+2544264 	2746 	0.037 	-4.768 	0.057 	-10.99 	nan 	nan 	nan 	nan 	0.057 	-10.99 	--
Taurus 	VY Tau A 	J04391741+2247533 	04:39:17.412 	=+22:47:53.400 	6.5186 	0.0413 	2.252 	141 	[10.123, -18.371] 	II 	1 	[pre-ALMA, ALMA] 	[388, ??] 	[0.89, 1.3] 	[??, ??] 	[??, ??] 	[Andrews+13, Akeson+2019] 	[ <10.0, 1.90] 	[ <2.08, 1.07] 	1.05 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	VY Tau A 	3640 	0.395 	-99.07 	0.413 	-105.8 	0.4275 	-105.9 	0.42 	-105.9 	0.413 	-105.8 	--
Taurus 	VY Tau B 	J04391741+2247533 	04:39:17.412 	=+22:47:53.400 	6.5186 	0.0413 	2.252 	141 	[10.123, -18.371] 	II 	1 	[pre-ALMA, ALMA] 	[388, ??] 	[0.89, 1.3] 	[??, ??] 	[??, ??] 	[Andrews+13, Akeson+2019] 	[ <10.0, <0.60] 	[ <2.08, <0.34] 	<0.33 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	VY Tau B 	3560 	0.395 	-99.07 	0.361 	-105.8 	0.3874 	-105.8 	0.37 	-105.82 	0.361 	-105.8 	--
Taurus 	LkCa 15 	J04391779+2221034 	04:39:17.796 	=+22:21:03.480 	6.3619 	0.0264 	1.362 	157.19 	[10.573, -17.527] 	II 	1 	[pre-ALMA, pre-ALMA] 	[388, 225] 	[0.89, 1.3] 	[??, ??] 	[??, ??] 	[Andrews+13, Andrews+13] 	[385.2, 127.0] 	[99.45, 88.67] 	88.67 	[, ] 	[, ] 	-- 	0.77 	121.0363 	HH08,HH14,Testi+22 	LkCa 15 	4162 	1.098 	-0.999 	0.792 	-7.994 	0.8524 	-8.025 	0.7 	-7.94 	0.7 	-7.94 	--
